gene_idx,gene_name,out_degree,in_degree,degree
1,ABL1,0.3361643198877573,2.370346140442416,2.7065104603301733
2,ABL2,0.0,1.0095851989498745,1.0095851989498745
3,ACACA,0.0,1.6102018067341606,1.6102018067341606
4,ACACB,0.0,3.017197805256971,3.017197805256971
5,ACOX1,0.0,0.02779004486898581,0.02779004486898581
6,ACOX3,0.0,0.033539088287701205,0.033539088287701205
7,ACTA2,0.0,0.7498956653114873,0.7498956653114873
8,ACTB,0.11636510507281249,0.7054805097582478,0.8218456148310603
9,ACTG1,0.1314216359673689,0.49639750052835246,0.6278191364957213
10,ACVR1,0.12922273218282498,0.029542698090275127,0.1587654302731001
11,ACVR1B,0.05051268148235976,0.031999876435535646,0.08251255791789541
12,ACVR1C,0.07195484743764002,0.0,0.07195484743764002
13,ACVR2A,0.0,0.15289900497300551,0.15289900497300551
14,ACVR2B,0.0,0.1531918796283814,0.1531918796283814
15,ADAM17,0.10723973387697092,0.0,0.10723973387697092
16,ADCY1,0.6952173020457848,11.354078357911233,12.049295659957018
17,ADCY10,0.0,4.483021770867829,4.483021770867829
18,ADCY3,0.6883912291998664,7.39313565425012,8.081526883449985
19,ADCY5,0.620678207076465,8.89176307498322,9.512441282059685
20,ADCY6,0.6071303321203838,8.028965589016055,8.63609592113644
21,ADCY7,0.6702954586905738,7.481035203326852,8.151330662017426
22,ADCY9,0.5808226198763199,8.034754449643271,8.615577069519592
23,ADIPOR1,0.08792954782256855,0.0,0.08792954782256855
24,ADIPOR2,0.08050947671290487,0.0,0.08050947671290487
25,ADORA1,0.09911931342358003,0.03361252757410208,0.13273184099768212
26,ADORA2A,0.08401161751244217,0.0,0.08401161751244217
27,ADORA2B,0.09386517365152637,0.0,0.09386517365152637
28,ADRA1B,0.1794177325539446,0.0,0.1794177325539446
29,ADRA1D,0.18358069020905532,0.0,0.18358069020905532
30,ADRA2A,0.11587899456887196,0.0,0.11587899456887196
31,ADRA2B,0.13298620837740602,0.0,0.13298620837740602
32,ADRA2C,0.12723983546214487,0.0,0.12723983546214487
33,ADRB1,0.14343637335744763,0.0,0.14343637335744763
34,ADRB2,0.16512038036404797,0.0264866899078091,0.19160707027185708
35,AFP,0.0,0.06177364570709566,0.06177364570709566
36,AGAP2,0.19215268279270578,0.018001545690155277,0.21015422848286106
37,AGER,5.864340407114165,1.7497886636449644,7.614129070759129
38,AGTR1,0.4102328194005773,0.0,0.4102328194005773
39,AIFM2,0.0,0.5923569519538432,0.5923569519538432
40,AIM2,0.03440367117679368,0.06271438132971524,0.09711805250650893
41,AJUBA,0.10559420483186842,0.0,0.10559420483186842
42,AKT1,25.893073399298977,9.86259210443762,35.755665503736594
43,AKT1S1,2.4441446439654104,3.29234596840494,5.73649061237035
44,AKT2,41.140279819325464,10.067390939426454,51.20767075875192
45,AKT3,28.022232137943014,13.457578916400719,41.479811054343735
46,ALDOA,0.0,0.9574809080047998,0.9574809080047998
47,AMH,0.8158185007981954,2.560073291510344,3.3758917923085394
48,AMOT,0.06498442972078919,0.025758059695363045,0.09074248941615223
49,ANAPC1,0.3071523215951553,0.48694886802307635,0.7941011896182317
50,ANAPC10,0.5546852357872315,0.21636628960065232,0.7710515253878838
51,ANAPC11,0.3513730580821478,0.46809269913501345,0.8194657572171613
52,ANAPC13,0.49253298393838724,0.2941528797595917,0.786685863697979
53,ANAPC2,0.4719587422616314,0.30837914191070015,0.7803378841723316
54,ANAPC4,0.40270742037391755,0.3490079823318714,0.751715402705789
55,ANAPC5,0.42455026536918017,0.40740171862998975,0.8319519839991699
56,ANAPC7,0.3612311981113938,0.3799039316564934,0.7411351297678872
57,ANGPT1,12.776387216963728,1.513726538811655,14.290113755775383
58,ANGPT2,9.528540875806357,1.5785914542114674,11.107132330017825
59,AOX1,0.0,4.145468219319203,4.145468219319203
60,APAF1,0.02583014535872887,0.0,0.02583014535872887
61,APBB1IP,0.19311077806535953,0.8139574686220536,1.0070682466874132
62,APC,0.20018054528627544,0.2101139055099338,0.41029445079620924
63,APC2,0.22145594377846767,0.1505122315812817,0.37196817535974935
64,APH1A,0.24984528376177573,0.03182500141362349,0.2816702851753992
65,APH1B,0.13809697960678022,0.1338909638967986,0.2719879435035788
66,ARAF,0.06689005673009282,2.0652730616508053,2.1321631183808982
67,ARAP3,0.028861979643503823,1.2699923829485973,1.2988543625921012
68,AREG,13.36122994030205,0.06612397863840062,13.42735391894045
69,ARF1,0.06379345819805167,0.1229635617462918,0.18675701994434346
70,ARF6,0.08063803949820188,0.020191241286617395,0.10082928078481927
71,ARHGDIA,0.03085410098234813,0.2893264931316177,0.3201805941139658
72,ARHGDIB,0.026965344600224248,0.4593474584631622,0.4863128030633865
73,ARHGDIG,0.025854329283659657,0.5409262218823035,0.5667805511659632
74,ARHGEF12,0.22125345124707863,0.2195164063790192,0.4407698576260978
75,ARNT,12.128030312878156,0.4865220149978995,12.614552327876055
76,ARRB1,0.34410248576896263,0.4852882063753592,0.8293906921443218
77,ARRB2,0.34440702018328007,0.32501419919038504,0.669421219373665
78,ATF2,9.601566871282799,6.379554511806539,15.981121383089338
79,ATF4,7.399212872402859,6.9103762787446605,14.30958915114752
80,ATF6B,1.845915370999137,3.9584433557029115,5.804358726702048
81,ATG12,0.19850894683234704,0.7094098833040334,0.9079188301363805
82,ATG16L1,0.1516827661039618,0.0660718347877264,0.2177546008916882
83,ATG5,0.176394116684484,0.0918454025464598,0.2682395192309438
84,ATM,0.09262600040722949,0.7600160909661402,0.8526420913733697
85,ATP1A1,0.0,2.4522715151445786,2.4522715151445786
86,ATP1A3,0.0,5.236730204539588,5.236730204539588
87,ATP1B1,0.0,3.1993277969770135,3.1993277969770135
88,ATP1B2,0.0,6.881231568625662,6.881231568625662
89,ATP1B3,0.0,2.7356874194714087,2.7356874194714087
90,ATP2A2,0.0,0.5941982416280855,0.5941982416280855
91,ATP2B1,0.0,0.9978081213931242,0.9978081213931242
92,ATP2B2,0.0,0.9853997530648486,0.9853997530648486
93,ATP2B4,0.0,1.324562402672988,1.324562402672988
94,ATP6V1A,0.1670211995767507,0.0,0.1670211995767507
95,ATP6V1B1,0.14898915416076003,0.0,0.14898915416076003
96,ATP6V1B2,0.148619680517974,0.0,0.148619680517974
97,ATP6V1C1,0.14690039366638907,0.0,0.14690039366638907
98,ATP6V1C2,0.15901704598218203,0.0,0.15901704598218203
99,ATP6V1D,0.15839907312765716,0.0,0.15839907312765716
100,ATP6V1E1,0.15213042097748256,0.0,0.15213042097748256
101,ATP6V1E2,0.14969904688963045,0.0,0.14969904688963045
102,ATP6V1F,0.1327010897861328,0.0,0.1327010897861328
103,ATP6V1G1,0.14584789758276506,0.0,0.14584789758276506
104,ATP6V1G2,0.13885904998363308,0.0,0.13885904998363308
105,ATP6V1H,0.14020700567246724,0.0,0.14020700567246724
106,ATR,0.0839001825816619,0.0,0.0839001825816619
107,AVPR2,0.2259712084371131,0.0,0.2259712084371131
108,AXIN1,0.2725053467816906,1.385999086627271,1.6585044334089614
109,AXIN2,0.25011221744546974,1.90161440767503,2.1517266251205
110,AZI2,0.0606622821263348,0.02891400676065435,0.08957628888698915
111,BAD,1.0511720442368337,2.7951484745465374,3.8463205187833713
112,BAG4,0.0,0.24043736627014975,0.24043736627014975
113,BAMBI,0.5666465566274552,0.0,0.5666465566274552
114,BAX,0.40470034643076364,3.305841562281906,3.7105419087126696
115,BBC3,0.063221446723522,0.09049429373505213,0.15371574045857414
116,BCAR1,0.06414780256648858,1.549790919777297,1.6139387223437855
117,BCL10,5.934158782827823,0.6001378201158029,6.534296602943626
118,BCL2,2.3341406563296916,35.86033945861273,38.19448011494242
119,BCL2A1,0.0,1.6923259417215983,1.6923259417215983
120,BCL2L1,0.7052392233007897,4.147696890398705,4.852936113699495
121,BCL2L11,0.0,1.0603709968893478,1.0603709968893478
122,BCL3,1.6383609752568493,0.7981151691948374,2.436476144451687
123,BCL6,0.0,0.9918373669458863,0.9918373669458863
124,BDKRB1,0.11119886682135983,0.0,0.11119886682135983
125,BDKRB2,0.2145872216283654,0.0,0.2145872216283654
126,BDNF,13.168153276300048,4.179299371132704,17.347452647432753
127,BECN1,0.08067985381154963,0.053687898938854534,0.13436775275040416
128,BID,0.055957967586194465,0.2747667250223457,0.3307246926085402
129,BIRC2,0.673956983423947,2.7434342504343174,3.4173912338582646
130,BIRC3,1.1293408293446798,1.8727644889258954,3.0021053182705755
131,BIRC5,0.0,1.3315736248507164,1.3315736248507164
132,BLNK,1.1663990316679702,1.0010613909767319,2.167460422644702
133,BMP2,0.10443901596590877,0.06838605128771937,0.17282506725362812
134,BMP4,0.08687034415779635,0.5207538913314542,0.6076242354892506
135,BMP5,0.08537319504345457,0.07453173740650526,0.15990493244995985
136,BMP6,0.0775600690433445,0.06593528185039757,0.14349535089374207
137,BMP7,0.1022504539345391,0.0497122028338102,0.1519626567683493
138,BMP8A,0.10723686661804097,0.05274306676195313,0.1599799333799941
139,BMP8B,0.09954987363889814,0.056295083990941436,0.15584495762983958
140,BMPR1A,0.08487325476016849,1.1833564292639496,1.268229684024118
141,BMPR1B,0.11507398343334596,1.4276174989218513,1.5426914823551972
142,BMPR2,0.03237748492974788,1.2357040373647274,1.2680815222944752
143,BNIP3,0.0,1.0701159500982613,1.0701159500982613
144,BOC,0.0,0.1581210830869774,0.1581210830869774
145,BRAF,1.1699602772287712,3.018202189542353,4.188162466771124
146,BRAP,0.07183673114826282,2.0822350182570517,2.1540717494053143
147,BRCC3,0.027351272401089467,0.0,0.027351272401089467
148,BTC,0.23971612243137014,0.0,0.23971612243137014
149,BTK,4.869596366832654,4.308684052117557,9.17828041895021
150,BTRC,0.2017680422757015,0.03389334666232268,0.23566138893802419
151,BUB1,0.03230703960483272,0.0,0.03230703960483272
152,BUB1B,0.43786560821948417,0.06576267483566577,0.50362828305515
153,BUB3,0.36405767797647665,0.12673854706808924,0.4907962250445659
154,CAB39,0.30836064475394476,0.024022817572889228,0.33238346232683397
155,CAB39L,0.2163613176729996,0.0890368584698687,0.3053981761428683
156,CACNA1C,0.0,1.233189650893716,1.233189650893716
157,CACNA1D,0.0,1.3571758401133893,1.3571758401133893
158,CACNA2D1,0.0,0.03142938383947087,0.03142938383947087
159,CACNA2D2,0.0,0.035638717686136565,0.035638717686136565
160,CACNA2D3,0.0,0.028499533981084818,0.028499533981084818
161,CACNA2D4,0.0,0.03253726897140344,0.03253726897140344
162,CACNB1,0.0,0.027201503887772555,0.027201503887772555
163,CACNB2,0.0,0.029794498191525534,0.029794498191525534
164,CACNB3,0.0,0.0319187349639833,0.0319187349639833
165,CACNB4,0.0,0.020970344988169624,0.020970344988169624
166,CACNG4,0.0,0.028970133528734246,0.028970133528734246
167,CACNG6,0.0,0.03673327801128228,0.03673327801128228
168,CACNG7,0.0,0.03939881694192687,0.03939881694192687
169,CACNG8,0.0,0.035701222019270056,0.035701222019270056
170,CACYBP,0.03458237526938319,0.028860586322844023,0.0634429615922272
171,CALM1,1.0815995750308502,1.687281104233504,2.7688806792643543
172,CALM2,1.053461360766899,1.6105239640222864,2.663985324789185
173,CALM3,1.0117824978292143,1.4304421264969278,2.4422246243261423
174,CALML4,0.9670573506261765,2.321618510914413,3.2886758615405896
175,CALML6,1.2447571418636167,2.526442315520641,3.7711994573842578
176,CAMK1,0.028326654558380446,0.14692653324940086,0.17525318780778132
177,CAMK1D,0.030568360459680356,0.14865770853787885,0.17922606899755922
178,CAMK2A,0.6807206299738027,0.15160323288679745,0.8323238628606001
179,CAMK2B,0.6837129220618711,0.14704351231145363,0.8307564343733247
180,CAMK2D,0.6607575178949143,0.1646259223110974,0.8253834402060117
181,CAMK2G,0.6736419701589815,0.14525363039186534,0.8188956005508469
182,CAMK4,9.18949622322883,6.307995554930919,15.497491778159748
183,CAMKK2,0.20349352392368017,0.24082356507424263,0.44431708899792277
184,CARD10,0.0,2.139662375712457,2.139662375712457
185,CARD11,0.4018187779312332,2.216221191924221,2.618039969855454
186,CARD14,0.0,2.1529015077278015,2.1529015077278015
187,CARD16,0.03343113412459691,0.0,0.03343113412459691
188,CARD6,0.023870247462764383,0.0,0.023870247462764383
189,CARD8,0.0,0.20993495297928655,0.20993495297928655
190,CARD9,5.393876177896769,2.6886266221525146,8.082502800049284
191,CASP1,0.09006789289414882,0.582004828704521,0.6720727215986698
192,CASP10,0.14362032775922368,0.07257433401731153,0.2161946617765352
193,CASP3,1.412122596746,2.8892465567274486,4.301369153473448
194,CASP4,0.026619458609881498,0.0,0.026619458609881498
195,CASP7,0.0,0.05770991831086576,0.05770991831086576
196,CASP8,0.29346096462104465,0.8878483396285446,1.1813093042495892
197,CASP9,0.03810324126000827,1.5182085276348516,1.5563117688948598
198,CAT,0.0,0.9250189773379437,0.9250189773379437
199,CBL,0.0,1.3237849093352754,1.3237849093352754
200,CBLB,1.9834754850404959,1.3101524032574767,3.293627888297973
201,CCL2,3.100132601337706,2.6096424780475598,5.709775079385266
202,CCL20,0.20731721699121408,0.0,0.20731721699121408
203,CCL26,0.22206111362126346,0.0,0.22206111362126346
204,CCL27,0.21335004054902434,0.0,0.21335004054902434
205,CCL28,0.22159778675607714,0.0,0.22159778675607714
206,CCL3,3.6415880903533733,3.92858320910794,7.570171299461313
207,CCL5,3.2410550745786164,4.382995069023067,7.624050143601683
208,CCNA1,0.17917183809525644,0.44478157745519037,0.6239534155504468
209,CCNA2,0.21104147379713442,0.4367629773061102,0.6478044511032446
210,CCNB1,0.08538191524955133,1.34771438727815,1.4330963025277015
211,CCNB2,0.05921991217571,1.492923123719326,1.5521430358950359
212,CCNB3,0.1255844236370952,1.6247203272709159,1.7503047509080112
213,CCND1,2.9150419859914107,11.848299280260836,14.763341266252247
214,CCND2,1.295810351986438,9.360030908269497,10.655841260255935
215,CCND3,1.4085470887793539,6.4009968850897465,7.809543973869101
216,CCNE1,0.12265601085576538,1.6701573946280404,1.7928134054838059
217,CCNE2,0.09554262785241008,1.7874164945455657,1.8829591223979758
218,CCNG1,0.0,0.44939356446266165,0.44939356446266165
219,CCNG2,0.0,1.8738034670241177,1.8738034670241177
220,CCNH,0.07787469175333778,0.02992485782209163,0.10779954957542941
221,CCR1,0.15654836896186072,3.5224318001302892,3.6789801690921498
222,CCR10,0.15698229971652228,3.986108662589686,4.143090962306208
