src,src_name,dest,dest_name,weight
1595,VEGFC,310,CREB5,0.4185580962027112
57,ANGPT1,311,CREBBP,0.30709174227279923
58,ANGPT2,311,CREBBP,0.2498564479212897
75,ARNT,311,CREBBP,0.18946540942415596
79,ATF4,311,CREBBP,0.20710395447288948
118,BCL2,311,CREBBP,0.39472649339586496
261,CDKN1A,311,CREBBP,0.6727394488174469
306,CREB3L1,311,CREBBP,0.5090793093666435
307,CREB3L2,311,CREBBP,0.4839727553694198
308,CREB3L3,311,CREBBP,0.36660844388728336
309,CREB3L4,311,CREBBP,0.19741591109583773
310,CREB5,311,CREBBP,0.3929532368356983
436,EGF,311,CREBBP,0.3256065236714979
457,EP300,311,CREBBP,0.14384214580059052
507,FLT1,311,CREBBP,0.5068513331469149
635,HIF1A,311,CREBBP,0.16098958735043806
969,NCOA1,311,CREBBP,0.3091653247053425
971,NCOA3,311,CREBBP,0.21608133410724498
1002,NOS3,311,CREBBP,0.5084520727939282
1148,PPARGC1A,311,CREBBP,0.471270159430181
1352,RXRA,311,CREBBP,0.09396951457601972
1353,RXRB,311,CREBBP,0.17735821273333086
1460,STAT1,311,CREBBP,0.1398784219287336
1461,STAT2,311,CREBBP,0.17649026798753767
1462,STAT3,311,CREBBP,0.4290361377100149
1463,STAT4,311,CREBBP,0.19991401246904086
1464,STAT5A,311,CREBBP,0.3951101145396629
1465,STAT5B,311,CREBBP,0.3689925939044163
1466,STAT6,311,CREBBP,0.32674361411482106
1498,TCF7,311,CREBBP,0.3284404701553285
1500,TCF7L2,311,CREBBP,0.2013242700059588
1506,TEK,311,CREBBP,0.3990976842741172
1528,THRA,311,CREBBP,0.17198636916000398
1529,THRB,311,CREBBP,0.2945451522954196
1558,TP53,311,CREBBP,0.3407662265041532
1593,VEGFA,311,CREBBP,0.5029551792889834
313,CRKL,312,CRK,0.29618256781250235
1236,PTK2,312,CRK,0.22662979723730434
1236,PTK2,313,CRKL,0.23097359004120036
316,CSF1R,315,CSF1,0.6957173513714224
437,EGFR,315,CSF1,0.28322824855955936
458,EPHA2,315,CSF1,0.20989909245011704
460,ERBB2,315,CSF1,0.3801941891821722
461,ERBB3,315,CSF1,0.4588304650271312
462,ERBB4,315,CSF1,0.8133809144919116
495,FGFR1,315,CSF1,0.29212435483932503
496,FGFR2,315,CSF1,0.6351015538054829
497,FGFR3,315,CSF1,0.5230714901660879
498,FGFR4,315,CSF1,0.491433074635764
507,FLT1,315,CSF1,0.4560099438764155
508,FLT3,315,CSF1,0.4591947475991522
510,FLT4,315,CSF1,0.7299972231810292
674,IGF1R,315,CSF1,0.4950110822916031
718,INSR,315,CSF1,0.4179502941668034
776,KDR,315,CSF1,0.3460517008323223
780,KIT,315,CSF1,0.6546283591538667
931,MET,315,CSF1,0.17263394507269064
988,NGFR,315,CSF1,0.7771141753531993
1023,NTRK1,315,CSF1,0.7392311447610457
1024,NTRK2,315,CSF1,0.4694366524461657
1067,PDGFRA,315,CSF1,0.6358100628790755
1068,PDGFRB,315,CSF1,0.6258224822406191
1506,TEK,315,CSF1,0.7658806551247834
312,CRK,316,CSF1R,0.3894190167930598
