gene_idx,gene_name,out_degree,in_degree,degree
1,ABL1,0.40323437806218865,8.076035668654368,8.479270046716557
2,ABL2,0.0,2.816620915328773,2.816620915328773
3,ACACA,0.0,0.2146487210455234,0.2146487210455234
4,ACACB,0.0,0.2086031913912545,0.2086031913912545
5,ACOX1,0.0,0.03361919842039545,0.03361919842039545
6,ACOX3,0.0,0.03192829815670848,0.03192829815670848
7,ACTA2,0.0,0.06665335910511203,0.06665335910511203
8,ACTB,0.13151775172833974,0.21665251733502372,0.34817026906336346
9,ACTG1,0.11251510993267098,0.21645513946811357,0.32897024940078456
10,ACVR1,0.5200065153340498,0.032362904275457065,0.5523694196095069
11,ACVR1B,0.39128718759554126,0.03486188012175261,0.4261490677172939
12,ACVR1C,0.6874455045365419,0.0,0.6874455045365419
13,ACVR2A,0.0,0.15018635372204395,0.15018635372204395
14,ACVR2B,0.0,0.15379065415666748,0.15379065415666748
15,ADAM17,0.12214623852826964,0.0,0.12214623852826964
16,ADCY1,1.1758899607191171,8.3345213768509,9.510411337570016
17,ADCY10,0.0,0.5024334175269662,0.5024334175269662
18,ADCY3,0.9131085186808681,5.859145564702339,6.772254083383207
19,ADCY5,0.994886267821615,5.506416937480388,6.501303205302003
20,ADCY6,0.8229534480099876,7.088060445346249,7.911013893356237
21,ADCY7,1.2031093446091594,7.981009778603523,9.184119123212682
22,ADCY9,1.0924797963506232,6.605270066214143,7.697749862564766
23,ADIPOR1,0.08490092655410988,0.0,0.08490092655410988
24,ADIPOR2,0.1037920762008677,0.0,0.1037920762008677
25,ADORA1,1.0038662733742967,0.037740481952399325,1.041606755326696
26,ADORA2A,0.39135391218587756,0.0,0.39135391218587756
27,ADORA2B,0.2449358516489156,0.0,0.2449358516489156
28,ADRA1B,0.172965830975833,0.0,0.172965830975833
29,ADRA1D,0.19711370267517242,0.0,0.19711370267517242
30,ADRA2A,0.12239461241600413,0.0,0.12239461241600413
31,ADRA2B,0.12010665638372303,0.0,0.12010665638372303
32,ADRA2C,0.1182782896212302,0.0,0.1182782896212302
33,ADRB1,1.4483414952148452,0.0,1.4483414952148452
34,ADRB2,1.9294843160102269,0.02736124276028325,1.95684555877051
35,AFP,0.0,0.07326535622899731,0.07326535622899731
36,AGAP2,2.38414576635696,0.02873630569471667,2.4128820720516764
37,AGER,6.343556877646673,0.5746924432072167,6.9182493208538896
38,AGTR1,4.990988629672211,0.0,4.990988629672211
39,AIFM2,0.0,0.035573436940709746,0.035573436940709746
40,AIM2,0.03693907068421443,0.054147430160082874,0.09108650084429731
41,AJUBA,0.09068349877682824,0.0,0.09068349877682824
42,AKT1,12.500735765475353,26.784968460810582,39.28570422628594
43,AKT1S1,2.6931340751082944,4.2899507235890875,6.983084798697382
44,AKT2,12.65612121632633,18.300937791736608,30.957059008062938
