src,src_name,dest,dest_name,weight
45,AKT3,952,MTOR,0.5762481012692054
57,ANGPT1,674,IGF1R,0.5749370154614251
57,ANGPT1,718,INSR,0.3887493326251084
57,ANGPT1,776,KDR,0.9130011670291424
57,ANGPT1,780,KIT,1.1936286356300114
57,ANGPT1,931,MET,0.5959210999979405
57,ANGPT1,988,NGFR,0.41069358508102605
57,ANGPT1,1023,NTRK1,1.0565982531135278
58,ANGPT2,776,KDR,0.5871109923658271
58,ANGPT2,780,KIT,1.2137815887729326
58,ANGPT2,988,NGFR,0.549651952701
58,ANGPT2,1023,NTRK1,0.8274031576390066
58,ANGPT2,1024,NTRK2,0.38655208100875216
58,ANGPT2,1067,PDGFRA,0.4294573172306022
58,ANGPT2,1506,TEK,0.3503769377867381
68,AREG,461,ERBB3,0.6218775121495128
68,AREG,462,ERBB4,0.12654132842241475
68,AREG,495,FGFR1,0.7061422062416871
68,AREG,496,FGFR2,0.6395812949786583
68,AREG,508,FLT3,0.528108920281132
78,ATF2,118,BCL2,0.6535415019840003
79,ATF4,1594,VEGFB,0.24804004356265064
190,CARD9,1104,PIK3R2,0.6030999039610226
190,CARD9,1105,PIK3R3,0.5878389946185052
251,CDC42,884,MAPK10,0.1765046524039159
279,CHUK,677,IKBKB,0.1712516184275349
279,CHUK,679,IKBKG,0.24929812246312694
279,CHUK,729,IRS1,0.3150347036619981
279,CHUK,982,NFKB1,0.7666298090790709
279,CHUK,1308,RELA,0.43145104671518
304,CREB1,78,ATF2,0.4158587810893853
304,CREB1,79,ATF4,0.37891548108309503
304,CREB1,118,BCL2,0.4809977506597837
304,CREB1,126,BDNF,0.23081561755388974
304,CREB1,306,CREB3L1,0.12195999717029432
304,CREB1,307,CREB3L2,0.1672996491814653
304,CREB1,308,CREB3L3,0.1704710263758898
304,CREB1,309,CREB3L4,0.4002880942852547
304,CREB1,310,CREB5,0.24909704960882664
304,CREB1,311,CREBBP,0.4222638340977331
304,CREB1,457,EP300,0.23623743846061795
304,CREB1,514,FOS,0.16908752297361693
304,CREB1,764,JUN,0.9490643894765524
304,CREB1,1593,VEGFA,0.3211461031964669
304,CREB1,1594,VEGFB,0.3653500465617981
304,CREB1,1595,VEGFC,0.18334139315411446
305,CREB3,78,ATF2,0.29802479812254506
305,CREB3,79,ATF4,0.4393124962846439
305,CREB3,118,BCL2,0.3966964374917248
305,CREB3,126,BDNF,0.13709045499563216
305,CREB3,304,CREB1,0.4483534065540879
305,CREB3,306,CREB3L1,0.15581995624427994
305,CREB3,307,CREB3L2,0.2095556728541851
305,CREB3,308,CREB3L3,0.3703688278794289
305,CREB3,309,CREB3L4,0.38148264564418544
305,CREB3,310,CREB5,0.232365029429396
305,CREB3,311,CREBBP,0.4105360271098713
305,CREB3,457,EP300,0.2640226935657362
305,CREB3,514,FOS,0.13720766810389856
305,CREB3,764,JUN,1.0642387495686612
305,CREB3,1593,VEGFA,0.37054360285401344
305,CREB3,1594,VEGFB,0.3257833678741008
305,CREB3,1595,VEGFC,0.15897641473760207
306,CREB3L1,118,BCL2,1.7681273778900506
306,CREB3L1,126,BDNF,0.3137510205308596
306,CREB3L1,310,CREB5,0.7988182255551995
306,CREB3L1,514,FOS,0.9027324606431648
306,CREB3L1,764,JUN,1.1817574912992617
306,CREB3L1,1593,VEGFA,0.9525266397186594
306,CREB3L1,1594,VEGFB,0.5013286923834434
306,CREB3L1,1595,VEGFC,0.326345663657412
307,CREB3L2,118,BCL2,0.7566309874566892
307,CREB3L2,126,BDNF,0.2267657898987333
307,CREB3L2,306,CREB3L1,0.6191291231662035
307,CREB3L2,308,CREB3L3,0.36423593335784976
307,CREB3L2,310,CREB5,0.3719268006738275
307,CREB3L2,514,FOS,0.5201824729330837
307,CREB3L2,764,JUN,1.1394279289757832
307,CREB3L2,1593,VEGFA,0.36050066344129533
307,CREB3L2,1594,VEGFB,0.12187668058710792
307,CREB3L2,1595,VEGFC,0.31999633722783377
308,CREB3L3,118,BCL2,1.394791248627007
308,CREB3L3,126,BDNF,0.6276695606609185
308,CREB3L3,306,CREB3L1,0.7100956873036921
308,CREB3L3,310,CREB5,0.8712584563686202
308,CREB3L3,514,FOS,0.3722040464791159
308,CREB3L3,764,JUN,0.9595381533416608
308,CREB3L3,1593,VEGFA,0.5053616791963578
308,CREB3L3,1594,VEGFB,0.4547308051337798
308,CREB3L3,1595,VEGFC,0.4139524753515919
309,CREB3L4,79,ATF4,0.41254096612489466
309,CREB3L4,118,BCL2,0.4190303819874922
309,CREB3L4,126,BDNF,0.2494440726935864
309,CREB3L4,306,CREB3L1,0.30227704253047705
309,CREB3L4,307,CREB3L2,0.5082266162460048
309,CREB3L4,308,CREB3L3,0.2850095769080023
309,CREB3L4,310,CREB5,0.3828535940420503
309,CREB3L4,457,EP300,0.22953064683824775
309,CREB3L4,514,FOS,0.2476228811157246
309,CREB3L4,764,JUN,0.9704871396844584
