src,src_name,dest,dest_name,weight
311,CREBBP,307,CREB3L2,0.3442085300184165
311,CREBBP,308,CREB3L3,0.2867744022825112
311,CREBBP,309,CREB3L4,0.2308801915962249
311,CREBBP,310,CREB5,0.35940348212219153
311,CREBBP,436,EGF,0.2699165803069869
311,CREBBP,457,EP300,0.22324752277539425
311,CREBBP,507,FLT1,0.6094129066603879
311,CREBBP,635,HIF1A,0.29744614552861703
311,CREBBP,969,NCOA1,0.2713552551266427
311,CREBBP,971,NCOA3,0.2513994835084304
311,CREBBP,1002,NOS3,0.33379623888564913
311,CREBBP,1352,RXRA,0.2941213633777806
311,CREBBP,1353,RXRB,0.44657730634013815
311,CREBBP,1460,STAT1,0.16914405262408155
311,CREBBP,1461,STAT2,0.2359844999235065
311,CREBBP,1462,STAT3,0.4722377268131822
311,CREBBP,1463,STAT4,0.2046836355817504
311,CREBBP,1464,STAT5A,0.3282334595297773
311,CREBBP,1465,STAT5B,0.5144151467929683
311,CREBBP,1466,STAT6,0.3083453930526351
311,CREBBP,1506,TEK,0.3705887944748004
311,CREBBP,1528,THRA,0.2309494574981121
311,CREBBP,1529,THRB,0.30956414382720443
311,CREBBP,1558,TP53,0.28399011272898256
311,CREBBP,1593,VEGFA,0.3647956738558909
312,CRK,313,CRKL,0.4961332412824655
312,CRK,1236,PTK2,0.210696756929004
313,CRKL,1236,PTK2,0.2241572912161549
315,CSF1,316,CSF1R,0.6867772335768677
315,CSF1,437,EGFR,0.5575180364772677
315,CSF1,458,EPHA2,0.6513647388278818
315,CSF1,460,ERBB2,0.3794562326899419
315,CSF1,461,ERBB3,0.4111559951639113
315,CSF1,462,ERBB4,0.5167575677811934
315,CSF1,495,FGFR1,0.6043159377062693
315,CSF1,496,FGFR2,0.7415590082644485
315,CSF1,497,FGFR3,0.5367264413119603
315,CSF1,498,FGFR4,0.4860901060785788
315,CSF1,507,FLT1,0.7520987477463981
315,CSF1,508,FLT3,0.5592581009143032
315,CSF1,510,FLT4,1.0027408361124497
315,CSF1,674,IGF1R,0.6085258857269461
315,CSF1,718,INSR,0.4999103111835817
